Month,Day,Hour,GHI
10,1,12,228
10,1,13,264
10,1,14,177
10,1,15,13
10,1,16,91
10,1,17,22
10,1,18,0
10,1,19,0
10,1,20,0
10,1,21,0
10,1,22,0
10,1,23,0
10,2,0,0
10,2,1,0
10,2,2,0
10,2,3,0
10,2,4,0
10,2,5,0
10,2,6,0
10,2,7,50
10,2,8,243
10,2,9,202
10,2,10,184
10,2,11,547
10,2,12,575
10,2,14,375
10,2,15,293
10,2,16,239
10,2,17,203
10,2,18,0
10,2,19,0
10,2,20,0
10,2,21,0
10,2,22,0
10,2,23,0
10,3,0,0
10,3,1,0
10,3,2,0
10,3,3,0
10,3,4,0
10,3,5,0
10,3,6,0
10,3,7,16
10,3,8,179
10,3,9,443
10,3,10,523
10,3,11,734
10,3,12,515
10,3,13,478
10,3,14,395
10,3,15,300
10,3,16,163
10,3,17,4
10,3,18,0
10,3,19,0
10,3,20,0
10,3,21,0
10,3,22,0
10,3,23,0
10,4,0,0
10,4,1,0
10,4,2,0
10,4,3,0
10,4,4,0
10,4,5,0
10,4,6,0
10,4,7,48
10,4,8,242
10,4,9,444
10,4,10,616
10,4,11,737
10,4,12,796
10,4,13,788
10,4,14,713
10,4,15,579
10,4,16,400
10,4,17,198
10,4,18,0
10,4,19,0
10,4,20,0
10,4,21,0
10,4,22,0
10,4,23,0
10,5,0,0
10,5,1,0
10,5,3,0
10,5,4,0
10,5,5,0
10,5,6,0
10,5,7,47
10,5,8,240
10,5,9,442
10,5,10,613
10,5,11,733
10,5,12,792
10,5,13,784
10,5,14,709
10,5,15,575
10,5,16,395
10,5,17,193
10,5,18,0
10,5,19,0
10,5,20,0
10,5,21,0
10,5,22,0
10,5,23,0
10,6,0,0
10,6,1,0
10,6,2,0
10,6,3,0
10,6,4,0
10,6,5,0
10,6,6,0
10,6,7,44
10,6,8,237
10,6,9,439
10,6,10,608
10,6,11,725
10,6,12,779
10,6,13,545
10,6,14,690
10,6,15,557
10,6,16,381
10,6,17,183
10,6,18,0
10,6,19,0
10,6,20,0
10,6,21,0
10,6,22,0
10,6,23,0
10,7,0,0
10,7,1,0
10,7,2,0
10,7,3,0
10,7,4,0
10,7,5,0
10,7,6,0
10,7,7,23
10,7,8,54
10,7,9,276
10,7,10,372
10,7,11,488
10,7,12,779
10,7,13,562
10,7,14,552
10,7,15,412
10,7,16,291
10,7,17,163
10,7,18,0
10,7,19,0
10,7,20,0
10,7,21,0
10,7,22,0
10,7,23,0
10,8,0,0
10,8,1,0
10,8,2,0
10,8,3,0
10,8,4,0
10,8,5,0
10,8,6,0
10,8,7,5
10,8,8,151
10,8,9,237
10,8,10,230
10,8,11,202
10,8,12,311
10,8,13,233
10,8,14,366
10,8,15,252
10,8,16,168
10,8,17,179
10,8,18,0
10,8,19,0
10,8,20,0
10,8,21,0
10,8,22,0
10,8,23,0
10,9,0,0
10,9,1,0
10,9,2,0
10,9,3,0
10,9,4,0
10,9,5,0
10,9,6,0
10,9,7,40
10,9,8,75
10,9,9,217
10,9,10,614
10,9,11,735
10,9,12,405
10,9,14,703
10,9,15,566
10,9,16,382
10,9,17,179
10,9,18,0
10,9,19,0
10,9,20,0
10,9,21,0
10,9,22,0
10,9,23,0
10,10,0,0
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,10,6,0
10,10,7,37
10,10,8,226
10,10,9,425
10,10,10,594
10,10,11,714
10,10,12,774
10,10,13,767
10,10,14,692
10,10,15,555
10,10,16,373
10,10,17,172
10,10,18,0
10,10,19,0
10,10,20,0
10,10,21,0
10,10,22,0
10,10,23,0
10,11,0,0
10,11,1,0
10,11,2,0
10,11,3,0
10,11,4,0
10,11,5,0
10,11,6,0
10,11,7,36
10,11,8,229
10,11,9,432
10,11,10,603
10,11,11,722
10,11,12,777
10,11,13,764
10,11,14,685
10,11,15,547
10,11,16,366
10,11,17,165
10,11,18,0
10,11,19,0
10,11,20,0
10,11,21,0
10,11,22,0
10,11,23,0
10,12,0,0
10,12,2,0
10,12,3,0
10,12,4,0
10,12,5,0
10,12,6,0
10,12,7,13
10,12,8,88
10,12,9,327
10,12,10,434
10,12,11,593
10,12,12,608
10,12,13,736
10,12,14,580
10,12,15,425
10,12,16,291
10,12,17,118
10,12,18,0
10,12,19,0
10,12,20,0
10,12,21,0
10,12,22,0
10,12,23,0
10,13,2,0
10,13,3,0
10,13,4,0
10,13,5,0
10,13,6,0
10,13,7,30
10,13,8,214
10,13,9,411
10,13,10,578
10,13,11,695
10,13,12,750
10,13,13,738
10,13,14,662
10,13,15,528
10,13,16,350
10,13,17,154
10,13,18,0
10,13,19,0
10,13,20,0
10,13,21,0
10,13,22,0
10,13,23,0
10,14,2,0
10,14,3,0
10,14,4,0
10,14,5,0
10,14,6,0
10,14,7,6
10,14,8,50
10,14,9,276
10,14,10,336
10,14,11,517
10,14,12,571
10,14,13,473
10,14,14,406
10,14,15,343
10,14,16,200
10,14,17,104
10,14,18,0
10,14,19,0
10,14,20,0
10,14,21,0
10,14,22,0
10,14,23,0
10,15,2,0
10,15,3,0
10,15,4,0
10,15,5,0
10,15,6,0
10,15,7,12
10,15,8,46
10,15,9,292
10,15,10,238
10,15,11,688
10,15,12,748
10,15,13,741
10,15,14,669
10,15,15,536
10,15,16,356
10,15,17,155
10,15,18,0
10,15,19,0
10,15,20,0
10,15,21,0
10,15,22,0
10,15,23,0
10,16,2,0
10,16,3,0
10,16,4,0
10,16,5,0
10,16,6,0
10,16,7,26
10,16,8,215
10,16,9,418
10,16,10,589
10,16,11,708
10,16,12,764
10,16,14,552
10,16,15,447
10,16,16,264
10,16,17,120
10,16,18,0
10,16,19,0
10,16,20,0
10,16,21,0
10,16,22,0
10,16,23,0
10,17,1,0
10,17,2,0
10,17,3,0
10,17,4,0
10,17,5,0
10,17,6,0
10,17,7,24
10,17,8,161
10,17,9,408
10,17,10,577
10,17,11,696
10,17,12,752
10,17,13,740
10,17,14,661
10,17,15,524
10,17,16,343
10,17,17,144
10,17,18,0
10,17,19,0
10,17,20,0
10,17,21,0
10,17,22,0
10,17,23,0
10,18,0,0
10,18,1,0
10,18,2,0
10,18,3,0
10,18,4,0
10,18,5,0
10,18,6,0
10,18,7,11
10,18,8,45
10,18,9,91
10,18,10,198
10,18,11,197
10,18,12,221
10,18,13,218
10,18,14,406
10,18,15,358
10,18,16,325
10,18,17,135
10,18,18,0
10,18,19,0
10,18,20,0
10,18,21,0
10,18,22,0
10,18,23,0
10,19,0,0
10,19,1,0
10,19,2,0
10,19,3,0
10,19,4,0
10,19,5,0
10,19,6,0
10,19,7,22
10,19,8,212
10,19,9,420
10,19,10,593
10,19,11,712
10,19,12,766
10,19,13,750
10,19,14,669
10,19,15,528
10,19,16,343
10,19,17,141
10,19,18,0
10,19,19,0
10,19,20,0
10,19,21,0
10,19,22,0
10,19,23,0
10,20,0,0
10,20,1,0
10,20,2,0
10,20,3,0
10,20,4,0
10,20,5,0
10,20,6,0
10,20,7,19
10,20,8,136
10,20,9,400
10,20,10,569
10,20,11,686
10,20,12,740
10,20,13,726
10,20,14,646
10,20,15,508
10,20,16,327
10,20,17,132
10,20,18,0
10,20,19,0
